outletSubAccountNumber,nbaCode,action
1.87907E+11,NBA_0045,P
1.87909E+11,NBA_0046,P
1.8791E+11,NBA_0046,P
1.87914E+11,NBA_0005,N
1.87914E+11,NBA_0006,N
1.87915E+11,NBA_0046,P
1.87917E+11,NBA_0046,P
1.87917E+11,NBA_0046,P
1.87918E+11,NBA_0046,P
1.87922E+11,NBA_0046,P
1.87922E+11,NBA_0005,N
1.87922E+11,NBA_0006,N
1.87922E+11,NBA_0009,N
1.87922E+11,NBA_0012,N
1.87923E+11,NBA_0046,P
1.87923E+11,NBA_0001,N
1.87923E+11,NBA_0005,N
1.87923E+11,NBA_0006,N
1.87923E+11,NBA_0009,N
1.87923E+11,NBA_0012,N
1.87923E+11,NBA_0009,N
1.87924E+11,NBA_0046,P
1.87925E+11,NBA_0045,P
1.87925E+11,NBA_0046,P
1.87926E+11,NBA_0046,P
1.87928E+11,NBA_0005,N
1.87928E+11,NBA_0006,N
1.87928E+11,NBA_0009,N
1.87928E+11,NBA_0012,N
1.87928E+11,NBA_0009,N
1.87928E+11,NBA_0012,N
1.8793E+11,NBA_0001,N
1.8793E+11,NBA_0005,N
1.8793E+11,NBA_0006,N
1.8793E+11,NBA_0009,N
1.8793E+11,NBA_0012,N
1.87931E+11,NBA_0001,N
1.87931E+11,NBA_0005,N
1.87931E+11,NBA_0006,N
1.87931E+11,NBA_0009,N
1.87931E+11,NBA_0012,N
1.87932E+11,NBA_0009,N
1.87932E+11,NBA_0009,N
1.87933E+11,NBA_0046,P
1.87934E+11,NBA_0005,N
1.87934E+11,NBA_0006,N
1.87934E+11,NBA_0046,P
1.87934E+11,NBA_0046,P
1.87935E+11,NBA_0009,N
1.87935E+11,NBA_0046,P
1.87936E+11,NBA_0045,P
1.87936E+11,NBA_0046,P
1.87936E+11,NBA_0045,P
1.87938E+11,NBA_0046,P
1.87941E+11,NBA_0046,P
1.87941E+11,NBA_0046,P
1.87942E+11,NBA_0005,N
1.87942E+11,NBA_0006,N
1.87942E+11,NBA_0009,N
