SubAccountNumber,EscalatedNote,Action
185816900016,"""DO NOT REBILL:  Technical issue on the account.  Tech teams engaged""",1
185864300004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
185864300005,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
185864300006,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
185904300004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
185924500004,"""DO NOT REBILL:  Technical issue on the account.  Tech teams engaged""",1
186025100004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
186124800004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
186125100004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
186129800004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
186130200004,"""PROFORMA CUSTOMER:  Billing paused Lockdown credits to be posted on customer account""",1
