billingsubaccount,outletsubaccount,agreementid,chargeableid,offercode,overrideprice,effectivedate
103211300003,103211300004,MIGPRD00000000463163_00000008060041310149_26951,00000000000000679527_00000001381418070515_00495,RUK_ALC_GEN_O  ,52.50,01/08/2016
103321400003,103321400004,MIGPRD00000000464264_00000008060042136129_23059,00000000000000691770_00000001382978171257_00092,RUK_ALC_GEN_O  ,52.50,01/08/2016
103579200003,103579200004,MIGPRD00000000466842_00000008060041797892_51794,00000000000000673447_00000001380479940133_02253,RUK_ALC_GEN_O  ,52.50,01/08/2016
103610600003,103610600004,MIGPRD00000000467156_00000008060041537213_82907,00000000000000668020_00000001379520742540_00364,RUK_ALC_GEN_O  ,52.50,01/08/2016
103639400003,103639400004,MIGPRD00000000467444_00000008060041842255_09075,00000000000000673309_00000001380216930083_00703,RUK_ALC_GEN_O  ,52.50,01/08/2016
103913700003,103913700004,MIGPRD00000000470187_00000008060041694796_64993,00000000000000674464_00000001380624336307_00085,RUK_ALC_GEN_O  ,52.50,01/08/2016
104070900003,104070900004,MIGPRD00000000471759_00000008060042167247_01564,00000000000000671630_00000001380010872049_00093,RUK_ALC_GEN_O  ,52.50,01/08/2016
104224700003,104224700004,MIGPRD00000000473297_00000008060041620969_44026,00000000000000793241_00000001395673323096_00114,RUK_ALC_GEN_O  ,52.50,01/08/2016
104272300003,104272300004,MIGPRD00000000473773_00000008060041188799_89177,00000000000000672978_00000001380186758029_00047,RUK_ALC_GEN_O  ,52.50,01/08/2016
104512600003,104512600004,MIGPRD00000000476176_00000008060041940095_14480,00000000000000668447_00000001379596130889_00740,RUK_ALC_GEN_O  ,52.50,01/08/2016
104551500003,104551500004,MIGPRD00000000476565_00000008060042130755_47752,00000000000000668154_00000001379596214918_01123,RUK_ALC_GEN_O  ,52.50,01/08/2016
104637800003,104637800004,MIGPRD00000000477428_00000008060042151050_20077,00000000000000674464_00000001380624532867_00101,RUK_ALC_GEN_O  ,52.50,01/08/2016
104778700003,104778700004,MIGPRD00000000478837_00000008060042122576_51457,00000000000000667793_00000001379596662915_01495,RUK_ALC_GEN_O  ,52.50,01/08/2016
104781500003,104781500004,MIGPRD00000000478865_00000008060041664299_54340,00000000000000673528_00000001380550554328_01495,RUK_ALC_GEN_O  ,52.50,01/08/2016
104844500003,104844500004,00000000000000320347_00000001331572021772_00082,00000000000000668485_00000001379596815908_00490,RUK_ALC_GEN_O  ,52.50,01/08/2016
104981700003,104981700004,MIGPRD00000000480867_00000008060041473061_47322,00000000000000839184_00000001402407462539_00061,RUK_ALC_GEN_O  ,52.50,01/08/2016
