"Sky Reference Number - Outlet","Marketing tag"
"100290400004","PPV Froch Targets - Silo1"
"100298500004","PPV Froch Targets - Silo1"
"100303700004","PPV Froch Targets - Silo1"
"100310700004","PPV Froch Targets - Silo1"
"100319400004","PPV Froch Targets - Silo1"
"100329300004","PPV Froch Targets - Silo1"
"100332300004","PPV Froch Targets - Silo1"
"100332700004","PPV Froch Targets - Silo1"
"100339200004","PPV Froch Targets - Silo1"
"100348100004","PPV Froch Targets - Silo1"
"100353600004","PPV Froch Targets - Silo1"
"100356600004","PPV Froch Targets - Silo1"
"100356700004","PPV Froch Targets - Silo1"
"100359200004","PPV Froch Targets - Silo1"
"100361000004","PPV Froch Targets - Silo1"
"100364600004","PPV Froch Targets - Silo1"
"100366100004","PPV Froch Targets - Silo1"
"100369000004","PPV Froch Targets - Silo1"
"100374900004","PPV Froch Targets - Silo1"
"100384300004","PPV Froch Targets - Silo1"
"100385800004","PPV Froch Targets - Silo1"
"100393500004","PPV Froch Targets - Silo1"
"100396900004","PPV Froch Targets - Silo1"
"100399700004","PPV Froch Targets - Silo1"
"100402600004","PPV Froch Targets - Silo1"
"100403700004","PPV Froch Targets - Silo1"
"100410300004","PPV Froch Targets - Silo1"
"100410500004","PPV Froch Targets - Silo1"
"100428200004","PPV Froch Targets - Silo1"
"100428300004","PPV Froch Targets - Silo1"
"100434300004","PPV Froch Targets - Silo1"
"100441100004","PPV Froch Targets - Silo1"
"100443600004","PPV Froch Targets - Silo1"
"100446000004","PPV Froch Targets - Silo1"
"100449300004","PPV Froch Targets - Silo1"
"100452100004","PPV Froch Targets - Silo1"
"100452300004","PPV Froch Targets - Silo1"
"100458300004","PPV Froch Targets - Silo1"
"100462100004","PPV Froch Targets - Silo1"
"100474400004","PPV Froch Targets - Silo1"
"100474500004","PPV Froch Targets - Silo1"
"100474700004","PPV Froch Targets - Silo1"
"100475400004","PPV Froch Targets - Silo1"
"100482100004","PPV Froch Targets - Silo1"
"100484600004","PPV Froch Targets - Silo1"
"100493700004","PPV Froch Targets - Silo1"
"100494000004","PPV Froch Targets - Silo1"
"100496500004","PPV Froch Targets - Silo1"
"100502100004","PPV Froch Targets - Silo1"
"100526600004","PPV Froch Targets - Silo1"
"100528200004","PPV Froch Targets - Silo1"
"100528300004","PPV Froch Targets - Silo1"
"100532100004","PPV Froch Targets - Silo1"
"100540200004","PPV Froch Targets - Silo1"
"100540800004","PPV Froch Targets - Silo1"
"100542200004","PPV Froch Targets - Silo1"
"100546900004","PPV Froch Targets - Silo1"
"100557200004","PPV Froch Targets - Silo1"
"100561100004","PPV Froch Targets - Silo1"
"100565800004","PPV Froch Targets - Silo1"
"100568500004","PPV Froch Targets - Silo1"
"100571800004","PPV Froch Targets - Silo1"
"100572600004","PPV Froch Targets - Silo1"
"100580500004","PPV Froch Targets - Silo1"
"100584200004","PPV Froch Targets - Silo1"
"100588700004","PPV Froch Targets - Silo1"
"100593400004","PPV Froch Targets - Silo1"
"100594300004","PPV Froch Targets - Silo1"
"100595900004","PPV Froch Targets - Silo1"
