Sky Reference Number - Outlet,Total Weighting,Territory Code,,,,,,
140810400004,40,38,,,,,,
180587600004,40,38,,,,,,
100051400032,37,38,,,,,,
101980100004,37,38,,,,,,
102143000004,37,38,,,,,,
106855400004,37,38,,,,,,
107255500004,37,38,,,,,,
110426000004,37,38,,,,,,
111191800004,37,38,,,,,,
117431600004,37,38,,,,,,
117972800004,37,38,,,,,,
118166900004,37,38,,,,,,
120379500004,37,38,,,,,,
122361800004,37,38,,,,,,
122584300004,37,38,,,,,,
124883200004,37,38,,,,,,
125551000004,37,38,,,,,,
127908100004,37,38,,,,,,
128400200004,37,38,,,,,,
131265000004,37,38,,,,,,
131838300004,37,38,,,,,,
134282700004,37,38,,,,,,
134283100004,37,38,,,,,,
135928800004,37,38,,,,,,
137478300004,37,38,,,,,,
137669700004,37,38,,,,,,
137882700004,37,38,,,,,,
138141700004,37,38,,,,,,
138172800004,37,38,,,,,,
138414700004,37,38,,,,,,
139543500004,37,38,,,,,,
139787400004,37,38,,,,,,
139965800004,37,38,,,,,,
142093100004,37,38,,,,,,
142689900004,37,38,,,,,,
184910800004,37,38,,,,,,
101580300004,35,38,,,,,,
109714100004,35,38,,,,,,
117961900004,35,38,,,,,,
119739800004,35,38,,,,,,
123218000004,35,38,,,,,,
123588500004,35,38,,,,,,
127968400004,35,38,,,,,,
100908600004,32,38,,,,,,
103379400004,32,38,,,,,,
107577500004,32,38,,,,,,
108017700004,32,38,,,,,,
110919600004,32,38,,,,,,
100135300004,9999,39,,,,,,
104441700004,9999,39,,,,,,
180234800004,9999,39,,,,,,
185116100004,9999,39,,,,,,
185331600004,9999,39,,,,,,
185352400004,9999,39,,,,,,
185453700004,9999,39,,,,,,
185592600004,9999,39,,,,,,
185800200004,9999,39,,,,,,
185872900004,9999,39,,,,,,
101210000004,9998,39,,,,,,
180041700004,9998,39,,,,,,
180861400004,9998,39,,,,,,
183504600004,9998,39,,,,,,
100336200004,75,39,,,,,,
100405600004,75,39,,,,,,
100597300004,75,39,,,,,,
100915800004,75,39,,,,,,
100976100004,75,39,,,,,,
101326700004,75,39,,,,,,
102283700004,75,39,,,,,,
102603200004,75,39,,,,,,
102639300004,75,39,,,,,,
103764000004,75,39,,,,,,
104548200004,75,39,,,,,,
104548500004,75,39,,,,,,
104555900004,75,39,,,,,,
104583800004,75,39,,,,,,
104713400004,75,39,,,,,,
105029600004,75,39,,,,,,
105097000004,75,39,,,,,,
105115300004,75,39,,,,,,
105160000004,75,39,,,,,,
105275300004,75,39,,,,,,
105380800004,75,39,,,,,,
105706000004,75,39,,,,,,
105752000004,75,39,,,,,,
106654900004,75,39,,,,,,
107366900004,75,39,,,,,,
107437800004,75,39,,,,,,
110800900004,75,39,,,,,,
110871800004,75,39,,,,,,
110996400004,75,39,,,,,,
111556800004,75,39,,,,,,
115778400004,75,39,,,,,,
117337900004,75,39,,,,,,
120092400004,75,39,,,,,,
124099600004,75,39,,,,,,
124880600004,75,39,,,,,,
131071200004,75,39,,,,,,
134368600004,75,39,,,,,,
135147900004,75,39,,,,,,
136491300004,75,39,,,,,,
137476700004,75,39,,,,,,
137478100004,75,39,,,,,,
137499600004,75,39,,,,,,
139299300004,75,39,,,,,,
139496800004,75,39,,,,,,
139680900004,75,39,,,,,,
140224600004,75,39,,,,,,
141944500004,75,39,,,,,,
142697700004,75,39,,,,,,
142706700004,75,39,,,,,,
180154300004,75,39,,,,,,
180228600004,75,39,,,,,,
180925600004,75,39,,,,,,
181400100058,75,39,,,,,,
181400100111,75,39,,,,,,
181400102732,75,39,,,,,,
181400103022,75,39,,,,,,
181400103183,75,39,,,,,,
181463400004,75,39,,,,,,
181527600004,75,39,,,,,,
182094000004,75,39,,,,,,
182283000004,75,39,,,,,,
182772500004,75,39,,,,,,
183507500278,75,39,,,,,,
183559500005,75,39,,,,,,
183998500004,75,39,,,,,,
184071400004,75,39,,,,,,
184203800004,75,39,,,,,,
