Sky Ref Number,Weighting Value,Territory
136196000004,10006,4
135792700004,10006,4
133459300004,60,4
108003100004,10006,4
122866700004,75,4
100393400004,85,4
142301900004,10006,4
102886900004,70,4
106947500004,70,4
185324900004,75,4
181516500004,9999,4
131644900004,70,4
106321000004,10006,4
120891100004,60,4
114798100004,60,4
182486900004,70,4
138899700004,65,4
117375800004,65,4
101468200004,10005,4
141309100004,10006,4
111368900004,60,4
116715900004,65,4
132255400004,10005,4
119216800004,10005,4
128622000004,10006,4
104584700004,75,4
125801000004,65,4
182943900004,10006,4
120787800004,60,4
183888000004,85,4
136999700004,10006,4
131098600004,10007,4
137772900004,75,4
105128600004,10006,4
138560800004,10006,4
128778900004,60,4
142523400004,75,4
128119100004,10006,4
133047800004,60,4
101000900004,60,4
115620700004,60,4
131680200004,60,4
118409500004,10006,4
113219800004,10006,4
117189300004,10005,4
128060400004,10006,4
101430500004,10005,4
120989100004,10005,4
122365300004,10006,4
120721800004,10006,4
117344400004,10006,4
102314800004,75,4
115300000004,60,4
105002500004,95,4
118873000004,10006,4
104425700004,10005,4
102709700004,75,4
102666100004,10005,4
119792300004,10005,4
104543100004,80,4
105599200004,85,4
101694500004,10005,4
136407800004,75,4
114159200004,75,4
102161700004,75,4
103644300004,10006,4
103868500004,10005,4
130467600004,70,4
102813100004,60,4
101270500004,10006,4
119718700004,65,4
105497000004,10006,4
120997300004,10005,4
111275000004,75,4
136222700004,65,4
100308600004,60,4
138010300004,10006,4
101174000004,10007,4
183603400004,10005,4
101642800004,75,4
105303200004,60,4
139061700004,10006,4
110348000004,10005,4
106935200004,70,4
105292700004,10006,4
103443600004,75,4
104092600004,10007,4
129260800004,10006,4
122887100004,10006,4
101157000004,10006,4
106605700004,60,4
101941200004,75,4
103525400004,75,4
103366000004,10007,4
105376300004,10006,4
101950600004,10006,4
137913100004,10006,4
129283900004,10006,4
116107800004,10006,4
105275900004,10007,4
113145100004,10005,4
128913100004,10006,4
101649200004,10007,4
120386400004,10006,4
135998100004,75,4
102853600004,10005,4
111569100004,70,4
119971800004,75,4
103286000004,75,4
104251700004,10005,4
138582400004,10006,4
124534600004,60,4
101710100004,75,4
108618100004,10005,4
102500200004,10006,4
118445400004,10005,4
136313800004,75,4
137813900004,10006,4
136027800004,60,4
185144700004,10007,4
119666200004,10006,4
120978400004,60,4
123179800004,60,4
104568500004,10005,4
103767400004,75,4
107591500004,10006,4
137028400004,60,4
136900500004,60,4
122823600004,10006,4
105795100004,75,4
105937300004,10005,4
122625200004,10006,4
106993000004,60,4
100599400004,10005,4
106958900004,10006,4
136935000004,10006,4
126560400004,10005,4
118409100004,10006,4
132147400004,60,4
180438400004,9998,4
130760400004,60,4
101674400004,10006,4
118069500004,60,4
101802500004,75,4
131664000004,10006,4
104834200004,60,4
111642700004,10006,4
136118500004,10006,4
138782100004,75,4
113166800004,60,4
109787000004,10005,4
116625100004,60,4
122871400004,10006,4
102572400004,10006,4
125798900004,60,4
115238100004,10006,4
122459600004,98,4
123463400004,70,4
118402000004,60,4
136002300004,10006,4
101598000004,10006,4
184610500004,70,4
102168000004,10007,4
120821000004,65,4
122857400004,60,4
100364200004,10005,4
138315100004,10007,4
138473400004,10006,4
136225000004,98,4
102853400004,10007,4
104241500004,60,4
106928600004,60,4
132957800004,10005,4
102867800004,75,4
183846200004,10005,4
115275100004,60,4
128110400004,60,4
105766600004,10007,4
129376400004,60,4
102749600004,60,4
102254000004,60,4
111703900004,75,4
100149900004,75,4
125798500004,60,4
118282300004,10005,4
125845900004,10005,4
124268600004,10005,4
132148900004,60,4
142126700004,10006,4
124090800004,60,4
123576100004,10005,4
122767700004,60,4
125981900004,60,4
133891300004,60,4
115338900004,70,4
124439500004,10006,4
113403500004,10006,4
120202100004,60,4
105515800004,70,4
129345700004,10005,4
105787400004,10006,4
132074200004,10007,4
105814500004,75,4
137025800004,75,4
122858300004,60,4
113991200004,60,4
111569900004,60,4
109572900004,10005,4
124446200004,60,4
142500000004,10006,4
129111000004,10005,4
131852100004,10006,4
121338100004,60,4
126247300004,60,4
141440200004,65,4
136203800004,65,4
101981800004,75,4
104217900004,75,4
137963600004,10006,4
101742800004,75,4
181519300004,10005,4
138214600004,10005,4
136826400004,60,4
100453300004,10006,4
182985900004,80,4
183131600004,10006,4
183131700004,10006,4
183178000004,75,4
183643100004,65,4
183691200004,75,4
183768400004,10007,4
184488900004,75,4
184695800004,10006,4
185017900004,10004,4
185020800004,10005,4
185325000004,65,4
185325500004,75,4
185365200004,85,4
185419100004,10005,4
185609200004,10005,4
185961700004,10006,4
185996400004,10006,4
106139900004,80,5
142263700004,40,5
133701000004,60,5
102580400004,75,5
137254200004,60,5
104351900004,30,5
183037000004,10004,5
141551900004,10005,5
122706400004,65,5
103735500004,40,5
106426300004,40,5
183799700004,70,5
100740000004,10006,5
102707100004,75,5
140837400004,10006,5
126833700004,10005,5
102554400004,40,5
118429200004,40,5
101448700004,10005,5
102434300004,40,5
127974400004,10006,5
116030500004,5,5
103431300004,10005,5
102335400004,10005,5
135769100004,5,5
117157000004,20,5
130242000004,10005,5
105912600004,10005,5
128168700004,10005,5
123617600004,10007,5
105289200004,10005,5
104097100004,10007,5
135489600004,45,5
184484100004,98,5
111899100004,10005,5
123049700004,20,5
